cmc_rank,symbol,num_market_pairs,tags,max_supply,circulating_supply,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,volume_24h_usd
117,COMP,338,defi|dao|yield-farming|polkadot-ecosystem|coinbase-ventures-portfolio|three-arrows-capital-portfolio|polychain-capital-portfolio|lending-borowing|dragonfly-capital-portfolio|alameda-research-portfolio|a16z-portfolio|pantera-capital-portfolio|paradigm-portfolio|arbitrum-ecosytem|bnb-chain,10000000.0,7267151.99852569,,,0.22214417,2023-03-27T00:40:00.000Z,15532094.97995918
118,YFI,377,defi|dao|yield-farming|yield-aggregator|yearn-partnerships|three-arrows-capital-portfolio|polychain-capital-portfolio|governance|blockchain-capital-portfolio|framework-ventures-portfolio|alameda-research-portfolio|parafi-capital|fantom-ecosystem|arbitrum-ecosytem|bnb-chain,36666.0,36637.72122588,,,0.75309392,2023-03-27T00:40:00.000Z,29109206.29078988
119,FET,113,cosmos-ecosystem|ai-big-data|collectibles-nfts|iot|binance-launchpad|web3|injective-ecosystem,,818912300.0,,,,2023-03-27T00:40:00.000Z,31834122.08829594
120,MAGIC,115,gaming|metaverse|arbitrum-ecosytem,347714007.0,212500960.24153566,212500960.24153566,303952123.17282367,,2023-03-27T00:40:00.000Z,102020218.47233032
121,CELO,144,pos|zero-knowledge-proofs|mobile|payments|smart-contracts|coinbase-ventures-portfolio|polychain-capital-portfolio|dragonfly-capital-portfolio|electric-capital-portfolio|a16z-portfolio|celo-ecosystem,1000000000.0,491531934.0,,,,2023-03-27T00:40:00.000Z,6333661.31378773
122,INJ,130,pos|platform|ai-big-data|defi|smart-contracts|cosmos|binance-smart-chain|binance-launchpad|binance-labs-portfolio|cms-holdings-portfolio|pantera-capital-portfolio|web3,100000000.0,73005554.33,,,,2023-03-27T00:40:00.000Z,32432818.41320283
123,KSM,163,substrate|polkadot-ecosystem|cms-holdings-portfolio|kenetic-capital-portfolio|1confirmation-portfolio|vbc-ventures-portfolio,,8470098.05726206,8597992.0,289936665.44121706,,2023-03-27T00:40:00.000Z,7493630.74720079
124,MOB,30,privacy|payments|arrington-xrp-capital-portfolio,,195286109.0,74218324.0,108395757.59632963,,2023-03-27T00:40:00.000Z,1228400.11053185
125,GNO,119,services|decentralized-exchange-dex-token|defi|prediction-markets|kenetic-capital-portfolio|arbitrum-ecosytem,3000000.0,2589588.0,,,,2023-03-27T00:40:00.000Z,4778553.49126309
126,GALA,244,collectibles-nfts|gaming|binance-smart-chain|polygon-ecosystem|play-to-earn,,6977205436.0,,,,2023-03-27T00:40:00.000Z,104188531.06977119
127,AR,80,distributed-computing|filesharing|storage|coinbase-ventures-portfolio|solana-ecosystem|arrington-xrp-capital-portfolio|blockchain-capital-portfolio|a16z-portfolio|multicoin-capital-portfolio|web3,66000000.0,33394701.0,,,,2023-03-27T00:40:00.000Z,7225434.76203724
128,BTG,69,mineable|medium-of-exchange|payments|btc-ecosystem,21000000.0,17513923.589,,,,2023-03-27T00:40:00.000Z,2583874.31946938
129,ONE,129,platform|enterprise-solutions|scaling|smart-contracts|binance-launchpad|binance-labs-portfolio|hashkey-capital-portfolio|harmony-ecosystem|injective-ecosystem|bnb-chain,,13163820074.442495,,,,2023-03-27T00:40:00.000Z,14351629.03535371
130,ASTR,55,polkadot-ecosystem|okex-blockdream-ventures-portfolio,,4362927020.0,1553126275.0,96336552.23856957,,2023-03-27T00:40:00.000Z,4973579.63950025
131,LN,9,centralized-exchange,,6734458.0,,,,2023-03-27T00:40:00.000Z,473548.95935791
132,AUDIO,125,music|dao|coinbase-ventures-portfolio|binance-labs-portfolio|solana-ecosystem|pantera-capital-portfolio|multicoin-capital-portfolio|web3,,990636746.0,,,,2023-03-27T00:40:00.000Z,9881483.98209467
133,ENS,177,dao|governance|web3,100000000.0,20244862.09054775,,,,2023-03-27T00:40:00.000Z,17514552.20549903
134,XCH,50,,,6871248.0,6871248.0,265774636.35420847,,2023-03-27T00:40:00.000Z,5085686.62515245
135,OMG,315,medium-of-exchange|payments|scaling|state-channel|pantera-capital-portfolio,140245399.0,140245398.24513277,,,,2023-03-27T00:40:00.000Z,47741555.57280067
136,BONE,85,memes|doggone-doggerel,230000000.0,229923445.59824273,229917843.45,257120533.02953902,,2023-03-27T00:40:00.000Z,5177651.49363084
137,WAVES,221,lpos|platform|smart-contracts,,110999476.0,,,,2023-03-27T00:40:00.000Z,30369525.95330971
138,IOTX,113,platform|iot|hashkey-capital-portfolio|kenetic-capital-portfolio|iotex-ecosystem|bnb-chain,10000000000.0,9448763702.0,,,,2023-03-27T00:40:00.000Z,5930538.92703566
139,GLM,94,platform|distributed-computing|payments|polygon-ecosystem|web3,1000000000.0,1000000000.0,,,,2023-03-27T00:40:00.000Z,2596674.5911613
140,SUSHI,545,collectibles-nfts|decentralized-exchange-dex-token|defi|dao|yield-farming|amm|yearn-partnerships|governance|avalanche-ecosystem|metaverse|blockchain-capital-portfolio|defiance-capital-portfolio|alameda-research-portfolio|pantera-capital-portfolio|polygon-ecosystem|fantom-ecosystem|arbitrum-ecosytem|harmony-ecosystem|injective-ecosystem|bnb-chain,250000000.0,222257372.0,,,0.48719025,2023-03-27T00:40:00.000Z,40157120.98426448
141,GMT,188,collectibles-nfts|gaming|binance-smart-chain|binance-launchpad|solana-ecosystem|bnb-chain|move-to-earn,6000000000.0,600000000.0,,,,2023-03-27T00:40:00.000Z,39330870.19920654
142,DAO,64,defi|governance|launchpad|dao-maker|vbc-ventures-portfolio|injective-ecosystem,312000000.0,143942530.56,149318000.0,239722730.75045457,,2023-03-27T00:40:00.000Z,2492112.50708805
143,JST,100,defi|tron-ecosystem,9900000000.0,8902080000.0,,,,2023-03-27T00:40:00.000Z,22709495.0594083
144,GLMR,58,smart-contracts|substrate|polkadot|polkadot-ecosystem|binance-labs-portfolio|arrington-xrp-capital-portfolio|injective-ecosystem,,605647713.0,,,,2023-03-27T00:40:00.000Z,5395431.39557019
145,BLUR,68,collectibles-nfts,,420322914.3835616,82565477.1689498,44448702.935769,,2023-03-27T00:40:00.000Z,38667102.81633858
146,JASMY,119,,50000000000.0,47569999998.88511,,,,2023-03-27T00:40:00.000Z,21501813.44914435
147,USTC,729,cosmos-ecosystem|stablecoin|algorithmic-stablecoin|seigniorage|terra-ecosystem|injective-ecosystem|bnb-chain|usd-stablecoin,,9796983503.301332,,,,2023-03-27T00:40:00.000Z,29492609.09526722
148,OCEAN,141,platform|ai-big-data|defi|filesharing|dao|substrate|storage|polkadot-ecosystem|dcg-portfolio|fabric-ventures-portfolio|polygon-ecosystem|web3|injective-ecosystem,1410000000.0,613099140.9978136,,,,2023-03-27T00:40:00.000Z,12844312.76134736
149,BAND,195,cosmos-ecosystem|defi|oracles|binance-chain|binance-launchpad|binance-labs-portfolio|solana-ecosystem|polygon-ecosystem|fantom-ecosystem|web3|near-protocol-ecosystem|spartan-group|injective-ecosystem|bnb-chain,0.0,124031898.990236,,,,2023-03-27T00:40:00.000Z,11541486.41395606
150,SC,76,mineable|pow|blake2b|platform|distributed-computing|filesharing|storage|dragonfly-capital-portfolio|fenbushi-capital-portfolio|paradigm-portfolio|web3|near-protocol-ecosystem,,53625292991.0,,,,2023-03-27T00:40:00.000Z,3357722.48106466
151,KDA,49,mineable|pow|blake2s|platform|cosmos-ecosystem|smart-contracts|coinfund-portfolio|multicoin-capital-portfolio|web3|injective-ecosystem,1000000000.0,224287239.9322,224287239.9322,211983178.18246886,,2023-03-27T00:40:00.000Z,4448188.10423531
152,ICX,99,platform|enterprise-solutions|interoperability|smart-contracts|kenetic-capital-portfolio|pantera-capital-portfolio,,951320774.9260916,,,,2023-03-27T00:40:00.000Z,3648190.10590408
153,HNT,71,mineable|enterprise-solutions|distributed-computing|iot|usv-portfolio|multicoin-capital-portfolio|web3,223000000.0,141075836.42832446,,,,2023-03-27T00:40:00.000Z,1858654.02772403
154,CKB,63,mineable|pow|platform|collectibles-nfts|defi|interoperability|research|scaling|smart-contracts|dao|polychain-capital-portfolio|rollups|blockchain-capital-portfolio|cms-holdings-portfolio|dragonfly-capital-portfolio|electric-capital-portfolio|hashkey-capital-portfolio|huobi-capital-portfolio|1confirmation-portfolio|multicoin-capital-portfolio|web3,,40142290001.21531,,,,2023-03-27T00:40:00.000Z,12490632.64046565
155,ONT,183,enterprise-solutions|identity|polkadot-ecosystem|metaverse|huobi-capital-portfolio|fantom-ecosystem|web3|near-protocol-ecosystem|bnb-chain,1000000000.0,875249524.0,,,,2023-03-27T00:40:00.000Z,17166739.04613081
156,IOST,115,hardware|iot|huobi-capital-portfolio,90000000000.0,18708894189.0,,,,2023-03-27T00:40:00.000Z,8125597.35477339
157,BRISE,50,bnb-chain,1000000000000000.0,395688215721653.0,427350680000000.0,211516872.91349864,,2023-03-27T00:40:00.000Z,3366998.79751739
158,LQTY,68,defi,100000000.0,91472391.74384113,,,0.27690225,2023-03-27T00:40:00.000Z,35912622.36212851
159,LPT,100,coinfund-portfolio|dcg-portfolio|pantera-capital-portfolio|multicoin-capital-portfolio|web3|arbitrum-ecosytem,,27523725.937246,,,,2023-03-27T00:40:00.000Z,12455789.41613971
160,MX,14,marketplace|centralized-exchange|discount-token,,99999999.9997,,,,2023-03-27T00:40:00.000Z,2670404.24415171
161,CELR,111,platform|enterprise-solutions|zero-knowledge-proofs|scaling|state-channel|ethereum-ecosystem|substrate|polkadot-ecosystem|binance-launchpad|arrington-xrp-capital-portfolio|pantera-capital-portfolio|arbitrum-ecosytem|bnb-chain,10000000000.0,7085488367.278,,,,2023-03-27T00:40:00.000Z,18622512.96484281
162,ZRX,275,platform|decentralized-exchange-dex-token|defi|scaling|dao|substrate|polkadot|polkadot-ecosystem|polychain-capital-portfolio|governance|blockchain-capital-portfolio|boostvc-portfolio|fabric-ventures-portfolio|kenetic-capital-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio,1000000000.0,847496054.8027713,,,,2023-03-27T00:40:00.000Z,13827406.22925364
163,XYM,39,posplus,8999999999.0,5582460004.558402,,,,2023-03-27T00:40:00.000Z,530730.00060824
164,BICO,73,platform|interoperability|coinbase-ventures-portfolio|binance-labs-portfolio|fenbushi-capital-portfolio|mvb,,502789360.33972234,,,,2023-03-27T00:40:00.000Z,4066618.88394023
165,HIVE,39,dpos|media|content-creation|scaling|web3,,475967835.169,,,,2023-03-27T00:40:00.000Z,2494795.11706568
166,FLUX,81,mineable|pow|distributed-computing|filesharing|interoperability|masternodes|smart-contracts|dao|dapp|storage|governance|web3|cross-chain,440000000.0,293889262.59931874,,,,2023-03-27T00:40:00.000Z,13098730.40017262
167,ELON,127,memes|payments|polygon-ecosystem|doggone-doggerel,1000000000000000.0,549652770159583.3,,,,2023-03-27T00:40:00.000Z,2917779.7598757
168,CHSB,16,asset-management|staking,,1000000000.0,,,,2023-03-27T00:40:00.000Z,327176.01268311
169,ELF,84,marketplace|enterprise-solutions|arrington-xrp-capital-portfolio|huobi-capital-portfolio|bnb-chain,1000000000.0,591361281.78419,,,,2023-03-27T00:40:00.000Z,6404038.77818331
170,RSR,140,store-of-value|defi|coinbase-ventures-portfolio|dcg-portfolio|real-world-assets,100000000000.0,45611899305.0,,,,2023-03-27T00:40:00.000Z,5480538.13100297
171,SKL,102,platform|scaling|smart-contracts|staking|layer-2|arrington-xrp-capital-portfolio|boostvc-portfolio|galaxy-digital-portfolio|hashkey-capital-portfolio,7000000000.0,4203852671.0,4203852671.0,169130587.49596724,,2023-03-27T00:40:00.000Z,12693749.72243297
172,ACH,98,,10000000000.0,5082155932.35553,,,,2023-03-27T00:40:00.000Z,44589085.36628026
173,BORA,21,marketplace|gaming,,927500000.0,,,,2023-03-27T00:40:00.000Z,2221450.85585896
174,JOE,97,decentralized-exchange-dex-token|defi|staking|yield-farming|amm|dex|lp-tokens|avalanche-ecosystem|arbitrum-ecosytem,500000000.0,336436965.0,,,,2023-03-27T00:40:00.000Z,73066724.87092009
175,BNX,33,binance-chain,2100000000.0,289119100.0,289119100.0,166531682.65207365,,2023-03-27T00:40:00.000Z,10857050.4499551
176,WAXP,66,media|collectibles-nfts|gaming|entertainment|payments|metaverse|galaxy-digital-portfolio|kenetic-capital-portfolio|play-to-earn|okex-blockdream-ventures-portfolio,,2424183034.0109015,,,,2023-03-27T00:40:00.000Z,2802231.44998162
177,SFP,108,wallet|binance-launchpad|injective-ecosystem|bnb-chain,500000000.0,369666536.3357306,,,,2023-03-27T00:40:00.000Z,5152097.01528844
178,POLY,82,marketplace|crowdfunding|real-world-assets,,924998413.0,,,,2023-03-27T00:40:00.000Z,104503.85329859
179,AMP,95,,99444125026.0,42227702186.0,36271610691.0,136680104.24559167,,2023-03-27T00:40:00.000Z,5605570.59897531
180,KEEP,67,defi|privacy|coinbase-ventures-portfolio|polychain-capital-portfolio|boostvc-portfolio|fabric-ventures-portfolio|a16z-portfolio|multicoin-capital-portfolio|parafi-capital|paradigm-portfolio,1000000000.0,860762270.3720057,,,24.15645527,2023-03-27T00:40:00.000Z,626489.34668753
181,DGB,120,mineable|pow|multiple-algorithms|medium-of-exchange|collectibles-nfts|iot|payments,21000000000.0,16113465971.748348,,,,2023-03-27T00:40:00.000Z,3517304.83593507
182,EVER,31,everscale-ecosystem,,1738959002.0,,,,2023-03-27T00:40:00.000Z,2756459.06295652
183,CORE,31,,2100000000.0,75010438.91549325,,,,2023-03-27T00:40:00.000Z,26607470.62815694
184,SXP,151,medium-of-exchange|defi|payments|wallet|binance-labs-portfolio|alameda-research-portfolio|bnb-chain,,559137079.8530546,559136546.7446165,150214123.09933165,879.6198898,2023-03-27T00:40:00.000Z,4443884.25043516
185,ILV,93,collectibles-nfts|gaming|dao|metaverse|play-to-earn,10000000.0,2443192.10029128,,,,2023-03-27T00:40:00.000Z,12077642.20463007
186,STORJ,139,platform|distributed-computing|filesharing|storage|web3,,412937122.13631105,,,,2023-03-27T00:40:00.000Z,7201824.39611544
187,ID,37,binance-launchpad|mvb,2000000000.0,286000000.0,,,,2023-03-27T00:40:00.000Z,235716277.04682904
188,RLC,92,marketplace|ai-big-data|distributed-computing|collectibles-nfts|defi|privacy|oracles|scaling|ethereum-ecosystem|substrate|polkadot|polygon-ecosystem|web3,86999785.0,80999784.9868455,,,,2023-03-27T00:40:00.000Z,16860899.62066275
189,GTC,84,dao|paradigm-portfolio|web3,,59913342.0,13795460.0,33578523.12718009,,2023-03-27T00:40:00.000Z,22480240.95451201
190,RIF,29,services|filesharing|payments|btc-ecosystem,,953380002.2099302,,,,2023-03-27T00:40:00.000Z,26846747.37329974
191,UMA,153,defi|derivatives|oracles|dao|coinbase-ventures-portfolio|governance|synthetics|blockchain-capital-portfolio|dragonfly-capital-portfolio|placeholder-ventures-portfolio|polygon-ecosystem|injective-ecosystem,101172570.0,68947415.07943583,,,,2023-03-27T00:40:00.000Z,10823263.37563109
192,TRAC,37,logistics|ai-big-data|enterprise-solutions|collectibles-nfts|smart-contracts|polkadot-ecosystem|polygon-ecosystem|web3,500000000.0,365481590.322617,,,,2023-03-27T00:40:00.000Z,1322829.95184548
193,ZEN,96,mineable|pow|medium-of-exchange|platform|enterprise-solutions|content-creation|privacy|zero-knowledge-proofs|masternodes|scaling|smart-contracts|staking|sidechain|dcg-portfolio|web3,21000000.0,13511156.25,,,,2023-03-27T00:40:00.000Z,5664360.3508089
194,LSK,70,dpos|platform|enterprise-solutions|smart-contracts,,128900444.52198455,140513403.0410382,151159378.06016746,,2023-03-27T00:40:00.000Z,2722257.10631943
195,MULTI,64,three-arrows-capital-portfolio|arbitrum-ecosytem|moonriver-ecosystem|circle-ventures-portfolio,100000000.0,14541093.5633,18363292.0,173470711.65593848,,2023-03-27T00:40:00.000Z,2878989.03671063
196,BTRST,31,coinbase-ventures-portfolio|web3,250000000.0,136836927.0,80181852.33,76342777.96977326,,2023-03-27T00:40:00.000Z,586971.32479127
197,SYS,37,mineable|pow|platform|enterprise-solutions|collectibles-nfts|zero-knowledge-proofs|masternodes|scaling,0.0,753571730.5998354,,,,2023-03-27T00:40:00.000Z,878582.40768605
198,AXL,23,interoperability|ethereum-ecosystem|coinbase-ventures-portfolio|polychain-capital-portfolio|binance-labs-portfolio|galaxy-digital-portfolio,,205586297.82442304,,,,2023-03-27T00:40:00.000Z,996451.33100086
199,TRIBE,66,defi|stablecoin|algorithmic-stablecoin|governance,1000000000.0,453448622.0,,,,2023-03-27T00:40:00.000Z,559650.84688197
200,API3,97,defi|oracles|coinfund-portfolio|dcg-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|polygon-ecosystem|fantom-ecosystem|cardano-ecosystem|web3|cardano|injective-ecosystem,,80187930.55562828,61977139.0,95841380.040193,,2023-03-27T00:40:00.000Z,6917954.01007356
201,HEX,181,,,173411074413.06497,572170573415.0,50429378755.99823,,2023-03-27T00:40:00.000Z,31973364.25120994
202,stETH,38,eth-2-staking,,5866940.79427202,,,,2023-03-27T00:40:00.000Z,13419074.37209978
203,WTRX,21,,,101676082428.01094,,,,2023-03-27T00:40:00.000Z,1192324.97839584
204,TMG,4,,1000000000.0,1000000000.0,,,,2023-03-27T00:40:00.000Z,149376.98463367
205,BTCB,372,bnb-chain|btc-ecosystem,,53011.11688935,,,,2023-03-27T00:40:00.000Z,3398636.03618209
206,WBNB,10553,wrapped-tokens|bnb-chain,,3505801.91810026,,,,2023-03-27T00:40:00.000Z,54368223.11768766
207,HBTC,34,heco-ecosystem|btc-ecosystem,6910.0,38969.49700474,,,4.35525295,2023-03-27T00:40:00.000Z,32454.04625966
208,FRAX,333,defi|stablecoin|algorithmic-stablecoin|seigniorage|avalanche-ecosystem|polygon-ecosystem|fantom-ecosystem|arbitrum-ecosytem|moonriver-ecosystem|usd-stablecoin|optimism-ecosystem,,1044853133.2587842,,,,2023-03-27T00:40:00.000Z,2854385.62863283
209,BTTOLD,182,binance-launchpad,,990000000000.0,,,,2023-03-27T00:40:00.000Z,194979.67567853
210,TNC,22,,,5851183164.0,,,,2023-03-27T00:40:00.000Z,54812.30739779
211,BGB,4,centralized-exchange,2000000000.0,1400000000.0,1400000000.0,568553182.1063516,,2023-03-27T00:40:00.000Z,7602958.92560219
212,XAUT,29,tokenized-gold,,246524.0,48450.0,95838572.18198594,,2023-03-27T00:40:00.000Z,6471539.90729057
213,XRD,15,,24000000000.0,10133464386.287584,5224705887.673094,225316078.38600385,,2023-03-27T00:40:00.000Z,708809.08818283
214,FTT,171,marketplace|centralized-exchange|derivatives|cms-holdings-portfolio|kenetic-capital-portfolio|alameda-research-portfolio|pantera-capital-portfolio|exnetwork-capital-portfolio,352170015.0,328895103.813207,,,,2023-03-27T00:40:00.000Z,6343857.51750229
215,DFI,46,defi|staking,1200000000.0,679520892.6263262,,,,2023-03-27T00:40:00.000Z,4917181.63750428
216,NXM,1,defi|insurance|arrington-xrp-capital-portfolio|kenetic-capital-portfolio|placeholder-ventures-portfolio,,6594067.84129139,,,1.43946609,2023-03-27T00:40:00.000Z,93313.72369557
217,WEMIX,40,platform|collectibles-nfts|gaming|metaverse|play-to-earn,,245569456.76241434,245568857.76241428,339158925.7551144,,2023-03-27T00:40:00.000Z,3594917.40637798
218,KAS,9,mineable|pow|store-of-value|polychain-capital-portfolio,28704026601.0,17531928537.270355,,,,2023-03-27T00:40:00.000Z,7374906.62768338
219,USDJ,18,stablecoin,,273145279.47542346,,,,2023-03-27T00:40:00.000Z,861361.97029059
220,LUSD,81,defi|stablecoin|asset-backed-stablecoin|usd-stablecoin|optimism-ecosystem,0.0,264538703.06958646,,,,2023-03-27T00:40:00.000Z,6446691.99326558
221,BabyDoge,116,memes|doggone-doggerel|bnb-chain,4.2e+17,1.15113333036839e+17,1.5320710989166525e+17,349250907.08429897,,2023-03-27T00:40:00.000Z,9228114.11165891
222,BDX,22,privacy|masternodes,9900000000.0,4019252314.0,,,,2023-03-27T00:40:00.000Z,2096275.31918636
223,ASTRAFER,32,gaming|animoca-brands-portfolio,888077888.0,156417090.0,156485525.3,241900655.78657916,,2023-03-27T00:40:00.000Z,16250.57624175
224,GNS,113,polygon-ecosystem|arbitrum-ecosytem,,30453619.0,30461090.0,221209678.53943086,,2023-03-27T00:40:00.000Z,16137206.53180384
225,SURE,28,ai-big-data|collectibles-nfts|defi|dao|insurance|avalanche-ecosystem|metaverse|bnb-chain,88000000000.0,26790063174.642704,,,,2023-03-27T00:40:00.000Z,2746061.73732877
226,EDGT,6,,,210000000.0,525263000.698,525678806.9240244,,2023-03-27T00:40:00.000Z,22176055.9115734
227,MV,22,,2000000000.0,1709312901.15,,,,2023-03-27T00:40:00.000Z,1325803.4087012
228,RON,20,,1000000000.0,179934507.22602093,148339298.0,158377273.61013845,,2023-03-27T00:40:00.000Z,2337833.07320473
229,WEVER,9,everscale-ecosystem,,1738959002.0,,,,2023-03-27T00:40:00.000Z,39283.82958
230,ALI,34,media|communications-social-media|ai-big-data|collectibles-nfts|ethereum-ecosystem|galaxy-digital-portfolio|huobi-capital-portfolio|alameda-research-portfolio,10000000000.0,3588163659.734976,,,,2023-03-27T00:40:00.000Z,2519975.25750918
231,TEL,115,medium-of-exchange|polygon-ecosystem,100000000000.0,66209200557.96,55088740237.4,114988285.53059883,,2023-03-27T00:40:00.000Z,1093378.61410459
232,EURS,40,marketplace|stablecoin|asset-backed-stablecoin|eur-stablecoin|xdc-ecosystem,,124125940.0,,,,2023-03-27T00:40:00.000Z,379734.58357181
233,LYXe,33,collectibles-nfts|metaverse,100000000.0,15475915.70885664,14945916.0,124010669.5711475,,2023-03-27T00:40:00.000Z,1050131.41292625
234,MBX,12,gaming,1000000000.0,43461462.85362052,,,,2023-03-27T00:40:00.000Z,5792814.7336187
235,SYN,129,interoperability|three-arrows-capital-portfolio|olympus-pro-ecosystem|arbitrum-ecosytem|optimism-ecosystem,250000000.0,139773376.0,180209601.0,155933236.13771594,,2023-03-27T00:40:00.000Z,8325383.77191465
236,XNO,60,dag|blake2b|medium-of-exchange|store-of-value|payments,133248297.0,133248297.197,,,,2023-03-27T00:40:00.000Z,1206495.04480663
237,HFT,44,decentralized-exchange-dex-token|defi|interoperability|dao|dex|binance-launchpool|coinbase-ventures-portfolio|dcg-portfolio|dragonfly-capital-portfolio|electric-capital-portfolio|galaxy-digital-portfolio|cross-chain,,191211775.17869997,,,,2023-03-27T00:40:00.000Z,14834583.53709569
238,VVS,52,defi|dex,100000000000000.0,33839383418915.11,33839438398445.89,120380301.96384072,,2023-03-27T00:40:00.000Z,364657.17815035
239,PLA,60,gaming|ethereum-ecosystem|metaverse|polygon-ecosystem,700000000.0,537855941.0,548992304.0,122489585.70020099,,2023-03-27T00:40:00.000Z,4065749.14279755
240,PUNDIX,55,,258526640.0,258491637.23,,,,2023-03-27T00:40:00.000Z,3445475.22019897
241,KNC,264,marketplace|decentralized-exchange-dex-token|defi|dao|amm|three-arrows-capital-portfolio|governance|kenetic-capital-portfolio|pantera-capital-portfolio|parafi-capital|arbitrum-ecosytem|optimism-ecosystem,252301550.0,164893760.0,160263628.57,113074254.63163227,,2023-03-27T00:40:00.000Z,6498353.51621951
242,TOMI,3,,,39642453.0,46932686.99999999,136462201.4981038,,2023-03-27T00:40:00.000Z,13429292.04974685
243,MED,11,health|cosmos-ecosystem|injective-ecosystem,,6908642520.0,6663990656.0,109523571.25504018,,2023-03-27T00:40:00.000Z,1063781.84770108
244,SLP,143,collectibles-nfts|play-to-earn,,42340286437.0,42340292989.0,113364744.33990982,,2023-03-27T00:40:00.000Z,6836942.70159251
245,PEOPLE,105,,5060137334.0,5060137334.7,5053572056.0,111760822.43108882,,2023-03-27T00:40:00.000Z,9538738.63702957
246,RENBTC,106,defi|wrapped-tokens|fantom-ecosystem|bnb-chain|btc-ecosystem,13698.0,3579.69855233,,,,2023-03-27T00:40:00.000Z,118465.67967495
247,METIS,114,zero-knowledge-proofs|scaling|layer-2|rollups|okex-blockdream-ventures-portfolio|metisdao-ecosystem,10000000.0,4450490.18425,,,,2023-03-27T00:40:00.000Z,6065838.50047254
248,RBN,62,derivatives|coinbase-ventures-portfolio|real-world-assets,1000000000.0,532821808.8899601,336479659.74,69533463.79738766,,2023-03-27T00:40:00.000Z,637783.71777358
249,NFT,67,art|collectibles-nfts|tron-ecosystem,999990000000000.0,277080562500000.0,,,,2023-03-27T00:40:00.000Z,6602669.3900965
250,MC,56,gaming|governance|play-to-earn|token|gaming-guild|spartan-group,669811161.0,372216089.5412862,,,,2023-03-27T00:40:00.000Z,2039281.21866529
251,CHR,104,platform|enterprise-solutions|collectibles-nfts|defi|gaming|ethereum-ecosystem|metaverse|chromia-ecosystem|web3|bnb-chain,1000000000.0,686549902.0,,,,2023-03-27T00:40:00.000Z,6989046.71247953
252,NMR,93,asset-management|ai-big-data|defi|payments|research|coinfund-portfolio|usv-portfolio|placeholder-ventures-portfolio|paradigm-portfolio|generative-ai,11000000.0,5888503.64405066,,,23.82277247,2023-03-27T00:40:00.000Z,4056541.05820409
253,SNT,95,media|content-creation|privacy|fabric-ventures-portfolio|kenetic-capital-portfolio,,3968600041.5595417,,,,2023-03-27T00:40:00.000Z,1957488.39495204
254,DENT,70,services,,99007791202.73587,,,,2023-03-27T00:40:00.000Z,3600337.43397181
255,SCRT,46,cosmos-ecosystem|defi|privacy|injective-ecosystem,,163295557.0,,,12.86825358,2023-03-27T00:40:00.000Z,1517056.50522341
256,vUSDC,2,stablecoin|bnb-chain,,4771015133.0,,,,2023-03-27T00:40:00.000Z,8226620.71649261
257,EWT,26,energy|enterprise-solutions|identity|substrate|polkadot-ecosystem,100000000.0,30062138.0,32932614.0,114681720.92865533,,2023-03-27T00:40:00.000Z,1200416.00234276
258,STG,149,ethereum-ecosystem|avalanche-ecosystem|polygon-ecosystem|fantom-ecosystem|arbitrum-ecosytem|cross-chain|optimism-ecosystem,1000000000.0,158640069.1886555,133061395.0,87425949.07541071,,2023-03-27T00:40:00.000Z,10332011.94399016
259,CFG,16,ethereum-ecosystem|substrate|polkadot|polkadot-ecosystem|real-world-assets,,360263043.0,60000000.0,17258340.327071186,,2023-03-27T00:40:00.000Z,199135.87291249
260,COCOS,50,media|collectibles-nfts|gaming,100000000.0,71051748.0,66860636.59,97327901.37556446,,2023-03-27T00:40:00.000Z,18131605.63656537
261,CVC,108,enterprise-solutions|identity|solana-ecosystem|dcg-portfolio|pantera-capital-portfolio|web3,,1000000000.0,,,,2023-03-27T00:40:00.000Z,4542042.84330265
262,XCN,59,,53474611831.0,23482966566.0,,,,2023-03-27T00:40:00.000Z,14103157.2222091
263,DEXE,40,asset-management|defi|dao|bnb-chain,98942301.0,36472980.52092348,36466824.0,101772724.55202188,,2023-03-27T00:40:00.000Z,1425044.4905255
264,LOCUS,6,platform|payments|scaling,7000000000.0,2081062787.3474767,2081062787.0,101003695.5692708,,2023-03-27T00:40:00.000Z,727968.04693502
265,REN,218,marketplace|defi|polkadot-ecosystem|avalanche-ecosystem|solana-ecosystem|kenetic-capital-portfolio|huobi-capital-portfolio|alameda-research-portfolio|fantom-ecosystem|btc-ecosystem,1000000000.0,999037500.3618875,,,,2023-03-27T00:40:00.000Z,20556007.12601823
266,RBTC,9,mineable|btc-ecosystem,,3553.66187326,,,,2023-03-27T00:40:00.000Z,37582.16300146
267,POLYX,20,,,605506542.193295,521874157.075662,85175271.81844278,,2023-03-27T00:40:00.000Z,1717313.88274078
268,RAD,71,dao|coinbase-ventures-portfolio|fabric-ventures-portfolio|placeholder-ventures-portfolio|web3,99999620.0,48829111.56634565,,,,2023-03-27T00:40:00.000Z,15575922.24422804
269,VGX,37,asset-management|wallet|algorand-ecosystem,279387971.0,278482214.1856918,,,,2023-03-27T00:40:00.000Z,20965852.75996684
270,ONG,59,ontology-ecosystem,1000000000.0,337692170.8174432,,,,2023-03-27T00:40:00.000Z,1701163.27610699
